message_id,date,text,tags,tweet_lang,source,place,geom,retweets,tweet_favorites,photo_url,quoted_status_id,user_id,user_name,user_location,followers,friends,user_favorites,status,user_lang,latitude,longitude,data_source,corona_related
1306948843163058177,2020-09-18 13:31:00,Wow. “This virus is a good thing so I won’t have to shake hands with those disgusting people”,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hopewell, NJ",0103000020E61000000100000005000000711B0DE02DB252C0D1E7A38CB8304440711B0DE02DB252C0C6A4BF97C23344403C8386FE09AF52C0C6A4BF97C23344403C8386FE09AF52C0D1E7A38CB8304440711B0DE02DB252C0D1E7A38CB8304440,0,0,,1.3066848489087547e+18,255281993,jarretcrawford,"Trenton, NJ",760,818,19699,10860,,,,{3},True
1307151733055946752,2020-09-19 02:57:13,Let me tell y’all tf something.... these COVID lawsuits boutta go crazy next year 😭😭😭,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Virginia, USA",0103000020E6100000010000000500000037548CF337EB54C0FC5580EF3645424037548CF337EB54C093C5FD47A6BB4340C22FF5F3A6CA52C093C5FD47A6BB4340C22FF5F3A6CA52C0FC5580EF3645424037548CF337EB54C0FC5580EF36454240,0,0,,-1.0,1213216119869149184,Maybe1000Jasus,,323,219,4845,57921,,,,{3},True
1318064260422008833,2020-10-19 05:39:42,"@steveblakesr @tazarae20 @COVIDOversight @SpeakerPelosi Why blame .@speakerpelosi? She's standing up for genuine relief for struggling people, businesses, hospitals, schools,  not more political slush for #trumpUnfit4potus and #TrumpCrimeSyndicate cronies. Stand firm! .@SenSchumer .@maddow .@JRubinBlogger .@maggieNYT .@NicolleDWallace","trumpUnfit4potus,TrumpCrimeSyndicate",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Great Neck Gardens, NY",0103000020E61000000100000005000000CD72D9E89C6E52C06D020CCB9F654440CD72D9E89C6E52C00917F2086E6644400A4D124BCA6D52C00917F2086E6644400A4D124BCA6D52C06D020CCB9F654440CD72D9E89C6E52C06D020CCB9F654440,0,0,,-1.0,2984340345,KarenBRubin,New York,356,261,7690,35230,,,,{3},True
1307228470934671360,2020-09-19 08:02:09,Keith is Stronger than any Punk Virus! 🤔😎,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Colorado Springs, CO",0103000020E61000000100000005000000BEBED6A5463A5AC095D8B5BDDD5E4340BEBED6A5463A5AC0828B15359884434008AEF204C22A5AC0828B15359884434008AEF204C22A5AC095D8B5BDDD5E4340BEBED6A5463A5AC095D8B5BDDD5E4340,0,0,,1.3070392173991608e+18,4012353679,steveconsultsp1,"Spokane, WA",2326,2766,77198,43222,,,,{3},True
1328878822134075394,2020-11-18 01:52:55,"Region 19 educators:The rate for 11-16-20 stays on 🟥 w/ the hospitalizations rate @ 44.34% which is 24.34% over the 🟥 24.35% over the 🟧 29.35% over the🟨 & 34.34% over 🟩, let’s stay safe! Results are 1 day behind! #region19 #COVID__19 #ElPasoTexas #ELP20 #txed #K12 #elp #eptx","region19,COVID__19,ElPasoTexas,ELP20,txed,K12,elp,eptx",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Socorro, TX",0103000020E610000001000000050000004FCE50DCF1935AC01F6ADB300A9A3F404FCE50DCF1935AC09D499BAA7BB03F40C4094CA7758D5AC09D499BAA7BB03F40C4094CA7758D5AC01F6ADB300A9A3F404FCE50DCF1935AC01F6ADB300A9A3F40,0,0,,-1.0,767478916063735808,Garciaparasoco,"Socorro, TX",1008,964,51242,42015,,,,{3},True
1318034916957777922,2020-10-19 03:43:06,👇🏻👇🏻 You can thank Donald Trump for this as well. Because he encourages no masks and no social distancing and mocks science.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pearl City, HI",0103000020E610000001000000050000008FFB56EBC4BF63C0390F27309D5E35408FFB56EBC4BF63C0B900344A976E3540D89AADBCE4BD63C0B900344A976E3540D89AADBCE4BD63C0390F27309D5E35408FFB56EBC4BF63C0390F27309D5E3540,0,0,,1.3179920005625405e+18,1264454585181024256,Meidas_Kelly,"Honolulu, HI",15176,13611,10768,11490,,,,{3},True
1337864419313938434,2020-12-12 20:58:28,It’s shocking that the Alberta government has done the worst at managing COVID,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Prince Edward County, Ontario",0103000020E61000000100000005000000E3FA777DE66D53C0E99B340D8AD04540E3FA777DE66D53C039639813B417464078EE3D5C721F53C039639813B417464078EE3D5C721F53C0E99B340D8AD04540E3FA777DE66D53C0E99B340D8AD04540,0,0,,1.3374855885517169e+18,1101921,mhp,"Prince Edward County, Ontario",3522,2079,15620,61801,,,,{3},True
1429612672434249728,2021-08-23 01:13:16,my tastebuds have been messed up since i had Covid 😭😭 will they ever go back to normal?,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lake Worth, FL",0103000020E61000000100000005000000219221C7D60754C077D7D9907F963A40219221C7D60754C0E78EFE976BA53A40026553AEF00254C0E78EFE976BA53A40026553AEF00254C077D7D9907F963A40219221C7D60754C077D7D9907F963A40,0,0,,-1.0,983168906897641474,dasdiraaaa,"Palm Beach, FL",373,453,100600,26625,,,,{3},True
1318318518920765440,2020-10-19 22:30:02,"@lesnla @LotaInsLotaOuts @venivici27 @mlipsitch @WHO Sweden has lower excess deaths than they had in 2016 through the month of October with no masks, no social distancing and no shielding of the elderly. What do you think about that?  Now they are at herd immunity and life moves on as normal",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kansas City, MO",0103000020E61000000100000005000000997E8978EBAE57C0696E85B01A6F4340997E8978EBAE57C02315C61682AA43406762BA10AB9857C02315C61682AA43406762BA10AB9857C0696E85B01A6F4340997E8978EBAE57C0696E85B01A6F4340,0,0,,-1.0,1343445308,S_C_14,"Kansas City, MO",111,476,37563,9456,,,,{3},True
1337891472163577856,2020-12-12 22:45:58,especially with the masks on,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anaheim, CA",0103000020E61000000100000005000000A04E797423815DC0D331E719FBE44040A04E797423815DC057D0B4C4CAF240407F2F8507CD6B5DC057D0B4C4CAF240407F2F8507CD6B5DC0D331E719FBE44040A04E797423815DC0D331E719FBE44040,0,0,,-1.0,737847695033827328,steel_diamonds,,616,1492,15926,25733,,,,{3},True
